variable,missing_pct
condensed_question,0.9975775710871128
reaction,0.9590100058597407
user_crop_details,0.9187247915361985
user_age,0.4531754358056338
user_gender,0.4406223004415949
land_holding,0.4356364866524771
user_role,0.20890277864476883
translated_message,0.05694419553411235
user_intent,0.05689385411863256
original_message,0.05419152693567777
conversation_title,0.009931354445851767
message_response,0.0013451226216198257
user_geography_level3,7.148480998129313e-4
created_on,0
source,0
input_type,0
user_id,0
conversation_id,0
user_country,0
timestamp,0
